TYPE,NEIGHBORHOOD,AMOUNT
Community Center,East Boston,3
Community Center,Charlestown,3
Community Center,Boston,4
Community Center,South Boston,3
Community Center,Roxbury,6
Community Center,Jamaica Plain,2
Community Center,Dorchester,4
Community Center,Mattapan,3
Community Center,Hyde Park,1
Community Center,Roslindale,3
Community Center,West Roxbury,3
Community Center,Allston,1
Community Center,South End,0
Community Center,Brighton,0
Community Center,Chinatown,0
Community Center,Mission Hill,0
